applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,CreditScore,Age
28,Sharon,Jones,Richard Jones,S,F,M,27-May-94,UK,N,,705-89-0256,voter id,75,wife,3455 Smith Falls,Smithstad,13626,Oklahoma,UK,001,841,9787786907,Sharon.Jones@yahoo.com,1528806.1852941175,3209202.0882352944,21-May-19,Development worker- community,N,M,215118.85235882353,1075594.2617941175,453211.92350000003,1,25
29,Natalie,Greene,John Greene,F,F,S,12-Jun-31,US,N,,196-14-1890,voter id,89,somebody,92901 Torres Neck,Brownport,12556,Nevada,US,001,673,9079881747,Natalie.Greene@gmail.com,2032140,13481252.470588235,21-May-19,Applications developer,N,H,713766.8999999999,1427533.7999999998,604606.2000000001,2,88
30,Colin,Hicks,Jean Hicks,S,M,M,05-Jun-59,India,Y,CNKPH6779V,284-68-6868,passport,78,sing,813 Carol Villages,New Thomas,10031,Arizona,India,091,076,9762141083,Colin.Hicks@yahoo.com,1200924,5316964.647058824,21-May-19,Homeopath,N,M,217654.77,870619.08,330304.92000000004,1,60
31,Jamie,Martinez,William Martinez,S,F,M,06-Jun-54,India,Y,BNHPM6957L,139-21-3541,voter id,59,style,48228 Mary Locks Suite 419,Lake Kristine,67908,Washington,India,091,817,9591379546,Jamie.Martinez@gmail.com,3000334,5774200.647058823,21-May-19,Sound technician- broadcasting/film/video,N,M,415244.756,2076223.7799999998,924110.2200000001,2,65
32,Deborah,Gregory,Johnny Gregory,F,F,M,04-Jun-60,India,N,,726-15-1471,bank statement,28,market,0355 King Inlet,Sarahview,09780,Idaho,India,091,035,9628494514,Deborah.Gregory@yahoo.com,3859440.9945882354,14586083.588235294,21-May-19,Tourist information centre manager,N,L,373874.2262887394,2617119.584021176,1242321.410567059,3,59
33,Stephen,Rivera,Amy Rivera,S,M,M,04-Jun-63,India,Y,BZSPR8415G,345-69-1728,aadhaar,16,shoulder,255 Munoz Pine Suite 441,North Cynthiamouth,93053,Oregon,India,091,749,9346119373,Stephen.Rivera@yahoo.com,2974882.910117647,7107433.117647059,21-May-19,Media buyer,N,H,675410.1244360784,2026230.3733082353,948652.5368094118,2,56
34,Christopher,Bell,George Bell,F,M,S,11-Jun-33,India,Y,FVBPB9276V,690-56-6603,voter id,25,art,0592 Cohen Rapids Apt. 918,Lake Nancy,09006,Washington,India,091,555,9096196317,Christopher.Bell@gmail.com,1709721,13366036.411764706,21-May-19,Animal technologist,N,L,201918.84499999997,1211513.0699999998,498207.93000000005,3,86
35,Cassandra,Ewing,Nathaniel Ewing,F,F,S,07-Jun-48,India,Y,FCCPE5512S,815-73-4691,passport,32,safe,050 Jenna Camp,Lake Meghan,46012,Kansas,India,091,378,9141749888,Cassandra.Ewing@gmail.com,1557657,7075692.323529411,21-May-19,Sport and exercise psychologist,N,H,554815.095,1109630.19,448026.81,2,71
36,Nicholas,Gonzalez,Victoria Gonzalez,S,M,M,05-Jun-57,India,N,,257-32-7115,aadhaar,85,term,726 Smith Points,Ericstad,80139,Missouri,India,091,361,9806927431,Nicholas.Gonzalez@yahoo.com,739554,1648546.4705882352,21-May-19,Therapist- nutritional,N,M,112300.23599999999,561501.1799999999,178052.82,0,62
37,Thomas,Moyer,Shane Moyer,F,M,M,25-May-01,India,Y,EZMPM4011N,260-04-7406,passport,65,city,95122 Raymond Greens Suite 888,East Alexa,91692,Mississippi,India,091,340,9406671874,Thomas.Moyer@hotmail.com,1708689.7534117647,11655778.176470589,21-May-19,Sales executive,N,M,300058.47487294115,1200233.8994917646,508455.85392,2,18
38,Rachel,Powers,Mark Powers,F,F,S,30-May-81,India,Y,EIDPP6834G,168-25-4858,passport,69,structure,4616 Jennifer Extensions Apt. 994,Padillahaven,05413,Wisconsin,India,091,610,9547773374,Rachel.Powers@gmail.com,2272143.201647059,5852356.94117647,21-May-19,Podiatrist,N,L,262859.91241921566,1577159.4745152942,694983.7271317649,4,38
39,Lisa,Cole,Thomas Cole,S,F,M,07-Jun-49,India,Y,CYRPC1571J,818-49-1368,voter id,8,never,54012 Smith Ways Suite 891,Ortegafurt,34078,Kansas,India,091,322,9493083852,Lisa.Cole@hotmail.com,2297395,11647540.88235294,21-May-19,Colour technologist,N,H,802627.325,1605254.65,692140.35,1,70
40,Joel,Miller,Gina Miller,S,M,M,03-Jun-67,India,Y,FKHPM4978D,777-52-0768,bank statement,95,science,36309 Hunter River,Port Lindsey,96458,Mississippi,India,091,757,9612098845,Joel.Miller@gmail.com,2556630.1308235293,3117541.8235294116,21-May-19,Social worker,N,M,349670.7904715294,1748353.952357647,808276.1784658823,1,52
41,Tracy,Hughes,Anthony Hughes,F,F,M,27-May-95,India,Y,CHUPH0616K,061-86-4329,voter id,25,tough,633 Rivera Dam,South Rebecca,02060,Illinois,India,091,575,9580624962,Tracy.Hughes@yahoo.com,2570682.337882353,11766077.05882353,21-May-19,Risk manager,N,L,254471.19183596634,1781298.3428517645,789383.9950305884,4,24
42,Hannah,Gonzalez,Terry Gonzalez,S,F,M,01-Jun-72,UK,N,,112-65-1307,aadhaar,52,skill,74535 Gill Shoals Apt. 739,Anthonymouth,02367,South Dakota,UK,001,138,9425945498,Hannah.Gonzalez@yahoo.com,4565010.656705882,11231952.88235294,21-May-19,Press sub,N,L,516151.6801949019,3096910.0811694115,1468100.5755364706,4,47
43,Kathleen,Mitchell,Jason Mitchell,S,F,M,02-Jun-71,India,Y,FDWPM5106S,629-79-4537,bank statement,37,woman,9904 Gina Passage Apt. 048,Wilsonside,25641,Wyoming,India,091,594,9307777036,Kathleen.Mitchell@hotmail.com,3187737.351529412,8209017.94117647,21-May-19,Meteorologist,N,M,543387.1828517647,2173548.731407059,1014188.6201223531,3,48
44,Melanie,Brown,Michael Brown,F,F,S,26-May-98,India,Y,BEDPB5615H,146-49-8048,aadhaar,96,play,51631 Brown Circle,North Cynthiafurt,39611,New Hampshire,India,091,803,9428762189,Melanie.Brown@gmail.com,2595919.7956470586,8157625.55882353,21-May-19,Environmental education officer,N,M,359817.95849905885,1799089.792495294,796830.0031517647,4,21
45,Amber,Munoz,Stephen Munoz,S,F,M,27-May-94,India,N,,760-85-8367,bank statement,29,way,300 Rios Avenue Suite 079,East Maureenfort,35383,Hawaii,India,091,540,9387701365,Amber.Munoz@gmail.com,1021724.6852941177,6809399.0,21-May-19,Data processing manager,N,M,183962.41419852938,735849.6567941175,285875.0285000001,2,25
46,Gregory,Drake,Jessica Drake,S,M,M,27-May-93,India,Y,CKHPD7066A,558-68-6114,aadhaar,78,lot,639 Donald Walk Suite 300,South Shawnton,82277,Nebraska,India,091,600,9213009623,Gregory.Drake@gmail.com,597214.5327058823,5221236.588235294,21-May-19,Engineer- petroleum,N,L,75139.9365443137,450839.6192658823,146374.91344,3,26
47,David,French,Ethan French,F,M,M,09-Jun-42,UK,N,,347-26-3447,bank statement,93,pattern,043 Edwards Ferry,Frankburgh,18839,Delaware,UK,001,730,9419271727,David.French@yahoo.com,3597623,9514096.970588235,21-May-19,Solicitor,N,H,1238203.705,2476407.41,1121215.59,2,77
48,Clifford,Henderson,Christopher Henderson,F,M,S,08-Jun-44,India,Y,BXXPH1221G,578-37-9453,passport,20,she,952 Deborah Port,East Ashley,51812,Mississippi,India,091,801,9631696156,Clifford.Henderson@hotmail.com,1572765,7236979.55882353,21-May-19,Paramedic,N,M,223950.51,1119752.55,453012.45,2,75
49,Mike,Gutierrez,Kristin Gutierrez,S,M,M,30-May-81,India,Y,CKEPG5780X,534-38-9200,voter id,22,career,40001 Colton Cove Suite 913,Beanchester,86799,Montana,India,091,567,9570123671,Mike.Gutierrez@yahoo.com,2360846.201647059,7702950.235294118,21-May-19,Pharmacologist,N,M,409147.62112882355,1636590.4845152942,724255.7171317649,2,38
50,Ashley,Cardenas,Matthew Cardenas,S,F,M,25-May-02,UK,N,,034-47-8889,passport,9,store,15004 Gerald Junctions,Port Ashley,34455,Wyoming,UK,001,017,9195792133,Ashley.Cardenas@gmail.com,2428664.906,10361264.0,21-May-19,Probation officer,N,M,422051.371755,1688205.48702,740459.4189800001,2,17
51,Paul,Cox,David Cox,F,M,M,02-Jun-71,France,N,,630-17-4585,voter id,31,significant,573 Theresa Roads Apt. 560,Davisland,38176,Pennsylvania,France,001,113,9519084933,Paul.Cox@hotmail.com,812594.3515294117,5786530.882352941,21-May-19,Production assistant- television,N,L,97033.8202345098,582202.9214070588,230391.43012235293,3,48
52,Laura,Bennett,Nathan Bennett,F,F,S,05-Jun-57,US,N,,423-97-4948,passport,48,above,153 Herman Corners,South Ashley,53762,Washington,US,001,572,9459862154,Laura.Bennett@hotmail.com,561837,2914768.294117647,21-May-19,Programmer- systems,N,L,63204.398571428566,442430.79,119406.21,2,62
53,Dawn,Henry,Matthew Henry,F,F,S,31-May-77,India,Y,DNZPH4979E,453-19-1501,voter id,69,a,463 Carol Flat,Davistown,96031,Minnesota,India,091,860,9199199781,Dawn.Henry@hotmail.com,2337625.1825882355,4270355.05882353,21-May-19,Fine artist,N,M,401875.74749529414,1607502.9899811766,730122.1926070589,2,42
54,Joseph,Nelson,Gary Nelson,F,M,S,11-Jun-34,India,Y,BTMPN5093S,208-48-8662,bank statement,32,bring,85686 Thompson Crossroad,Vaughnborough,26765,New Jersey,India,091,069,9357920412,Joseph.Nelson@gmail.com,2001166,8736520.0,21-May-19,Drilling engineer,N,L,200968.7457142857,1406781.22,594384.78,3,85
55,Patrick,Braun,Jessica Braun,S,M,M,10-Jun-36,India,Y,BDIPB3465T,028-75-7403,aadhaar,40,model,704 Landry Harbors,Amandamouth,79290,West Virginia,India,091,284,9685851827,Patrick.Braun@hotmail.com,3618240,15587414.352941176,21-May-19,Ergonomist,N,L,415036.79999999993,2490220.8,1128019.2,3,83
56,Christopher,Stokes,Samantha Stokes,S,M,M,25-May-02,India,Y,AZGPS6850G,703-48-0731,voter id,38,day,625 Edward Wells,Stephanieborough,61912,Alabama,India,091,424,9799655321,Christopher.Stokes@hotmail.com,2069830.406,10797662.5,21-May-19,Technical sales engineer,Y,M,289557.27440399997,1447786.37202,622044.0339800001,2,17
57,Donna,Lewis,Carlos Lewis,F,F,S,31-May-78,India,Y,FFJPL5289J,304-46-8611,bank statement,37,always,430 Taylor Radial Apt. 502,North Jerrychester,57188,Alaska,India,091,454,9302088826,Donna.Lewis@hotmail.com,4079752.487764706,12657668.411764706,21-May-19,Counselling psychologist,Y,M,693829.1299358823,2775316.519743529,1304435.9680211765,4,41
58,Brandon,Sanchez,Diana Sanchez,S,M,M,02-Jun-70,India,Y,FMSPS6718O,440-80-1233,passport,86,their,4756 Cook Avenue Apt. 100,North Taylorshire,46757,Utah,India,091,789,9753461687,Brandon.Sanchez@hotmail.com,4356037.046352942,12170381.55882353,21-May-19,Marine scientist,N,L,422245.8988063865,2955721.291644706,1400315.7547082356,4,49
59,Susan,Flowers,Joseph Flowers,F,F,M,11-Jun-33,India,Y,BBVPF9011I,014-63-5241,aadhaar,4,speak,3111 Anna Extensions,Vasquezmouth,86314,North Dakota,India,091,291,9477699327,Susan.Flowers@gmail.com,3586437,16171575.94117647,21-May-19,Engineer- automotive,N,M,617228.1975,2468912.79,1117524.21,2,86
60,Barbara,Watson,Jose Watson,F,F,S,26-May-96,India,Y,AHQPW2905V,267-22-1268,aadhaar,79,sea,6102 Elizabeth Curve Suite 539,Lake Andrew,48157,Georgia,India,091,784,9505861963,Barbara.Watson@hotmail.com,2491622.490470588,7508414.617647059,21-May-19,Textile designer,N,L,288103.7271221569,1728622.3627329413,763000.127737647,5,23
61,Angela,Garcia,John Garcia,S,F,M,26-May-97,UK,N,,423-83-1871,passport,75,population,7020 Bell Rapid,New Johnberg,43856,Oregon,UK,001,220,9067356256,Angela.Garcia@gmail.com,2258214.1430588234,11116638.94117647,21-May-19,Engineer- structural,N,M,393133.22190352937,1572532.8876141175,685681.2554447058,2,22
62,Kristy,Long,John Long,S,F,M,07-Jun-51,India,N,,622-61-0642,aadhaar,65,glass,26299 Joseph Radial,North Yvonne,03564,Texas,India,001,313,9187807900,Kristy.Long@gmail.com,1453153,5958148.0,21-May-19,Pharmacist- community,N,H,346537.5033333333,1039612.51,413540.49,1,68
63,Wayne,Marshall,Louis Marshall,F,M,S,25-May-01,India,Y,DSYPM3170N,549-15-3895,bank statement,68,modern,46756 Jennifer Walks Apt. 165,Wardfurt,53754,North Carolina,India,091,806,9127017110,Wayne.Marshall@gmail.com,2228922.7534117647,7087549.117647059,21-May-19,Applications developer,Y,H,518028.0423796078,1554084.1271388235,674838.6262729412,3,18
64,Mr.,Dean Reed Jr.,Kendra Dean Reed Jr.,S,M,M,05-Jun-56,France,N,,063-05-6544,passport,42,administration,7236 Powell Lakes,Baileychester,61283,New Mexico,France,001,308,9533700439,Mr..Dean Reed Jr.@gmail.com,2559866,14537129.11764706,21-May-19,Optician- dispensing,N,M,356222.044,1781110.22,778755.78,2,63
65,Mrs.,Christy Stanton DDS,Luke Christy Stanton DDS,F,F,S,01-Jun-75,India,Y,BAFPC2115N,395-67-7005,aadhaar,17,apply,5111 Renee Spur Suite 846,Lake Donna,47816,Idaho,India,091,186,9452928381,Mrs..Christy Stanton DDS@gmail.com,3212000.572235294,12876032.294117648,21-May-19,Retail merchandiser,N,M,548039.5076141176,2192158.0304564703,1019842.5417788236,4,44
66,Robert,Adkins,Brandon Adkins,F,M,M,03-Jun-66,India,Y,FTRPA0105A,726-57-1630,bank statement,46,brother,098 Norris Street,Bairdville,99767,Nevada,India,091,575,9402430562,Robert.Adkins@yahoo.com,3587143.825647059,13954860.323529411,21-May-19,Development worker- community,N,M,609552.4731488235,2438209.892595294,1148933.9330517647,2,53
67,Amy,Thompson,Daniel Thompson,S,F,M,26-May-97,India,Y,EXWPT8559U,775-93-4758,bank statement,78,between,635 Williams Key Apt. 009,Reillyton,83456,Georgia,India,091,738,9129997799,Amy.Thompson@hotmail.com,3773975.286117647,4731400.176470589,21-May-19,Teacher- secondary school,N,M,647023.2133658823,2588092.853463529,1185882.4326541177,2,22
68,Christopher,Williams,Kimberly Williams,S,M,M,07-Jun-51,India,Y,EFXPW6562Y,356-17-0734,bank statement,26,sometimes,654 Mark Fork,North Davidshire,70411,Washington,India,091,083,9816760180,Christopher.Williams@yahoo.com,2079213,11053507.0,21-May-19,Community arts worker,N,H,729536.355,1459072.71,620140.29,1,68
69,Carla,Butler,Christopher Butler,S,F,M,03-Jun-65,India,Y,BPBPB6736W,784-36-8769,voter id,13,four,8680 Ashley Vista,East Gregorymouth,10818,Oregon,India,091,621,9699288925,Carla.Butler@gmail.com,1821207.5204705882,4677994.411764706,21-May-19,Farm manager,N,H,418148.11094431375,1254444.3328329413,566763.187637647,0,54
70,Daniel,Hart,Scott Hart,F,M,M,10-Jun-38,India,Y,FSEPH0730V,862-45-6346,aadhaar,36,pretty,43867 Hudson Cliff Apt. 155,Guzmanhaven,55784,Mississippi,India,091,540,9209626693,Daniel.Hart@gmail.com,2149082,6813725.823529412,21-May-19,Psychologist- educational,N,L,215126.41999999998,1505884.94,643197.06,2,81
71,John,Maldonado,Stephanie Maldonado,S,M,M,28-May-91,India,Y,DNGPM4963U,098-21-6238,voter id,63,world,84821 Adams Shore,Nicholasmouth,89693,Louisiana,India,091,217,9255218900,John.Maldonado@hotmail.com,1052424.2275294117,2553559.3529411764,21-May-19,Plant breeder/geneticist,N,M,152577.78766541174,762888.9383270587,289535.2892023529,1,28
72,Benjamin,Duncan,Erika Duncan,S,M,M,03-Jun-65,India,Y,DJUPD7987J,879-38-5871,voter id,58,political,4254 Browning Spur Apt. 245,Port Michaelshire,02800,Nebraska,India,091,878,9039160210,Benjamin.Duncan@hotmail.com,3299879.5204705885,6831799.470588235,21-May-19,Community arts worker,N,H,748384.8576109803,2245154.572832941,1054724.9476376472,2,54
73,Lorraine,Hale,Paul Hale,S,F,M,06-Jun-53,India,Y,AEEPH9007W,331-86-4199,aadhaar,51,establish,13020 Robert Land,West Nicole,86391,Maine,India,091,019,9293787457,Lorraine.Hale@yahoo.com,3256180,6603800.0,21-May-19,Clothing/textile technologist,N,L,321091.5142857143,2247640.6,1008539.4,3,66
74,Michael,Moore,Charles Moore,F,M,M,30-May-83,India,Y,DTIPM1472L,334-43-6058,voter id,82,vote,699 Cabrera Greens,North Ginaville,20095,Pennsylvania,India,091,848,9126799280,Michael.Moore@yahoo.com,1012701.5068235295,5480204.411764706,21-May-19,Set designer,N,L,103333.36271193277,723333.5389835294,289367.96784000006,3,36
75,Heather,Santos,Steven Santos,F,F,S,28-May-91,India,Y,AFNPS6998S,786-60-2280,bank statement,90,owner,68466 Suzanne Inlet,Colechester,34751,California,India,091,580,9463385659,Heather.Santos@hotmail.com,2373781.7275294117,5952662.882352941,21-May-19,Investment analyst,Y,M,329639.69266541174,1648198.4633270586,725583.264202353,3,28
76,Richard,Hayes,Amanda Hayes,S,M,M,06-Jun-53,India,Y,CHIPH9870L,593-37-8514,bank statement,49,kind,3647 Ramirez Lodge Suite 542,East Joshuaport,55952,Alabama,India,091,549,9285753533,Richard.Hayes@gmail.com,1121032,9272487.94117647,21-May-19,Scientist- research (medical),N,M,163418.288,817091.44,303940.56,1,66
